word,freq
arya,52
waif,23
one,21
want,21
girl,19
face,16
back,14
jaqen,14
kill,14
see,13
walk,13
cut,12
hits,11
know,11
look,11
man,11
stark,11
turn,11
dead,10
father,10
house,10
take,10
black,9
sit,9
white,9
across,8
crane,8
die,8
fight,8
home,8
like,8
name,8
never,8
oyster,8
pie,8
come,7
first,7
good,7
now,7
room,7
stands,7
ask,6
cersei,6
hot,6
joffrey,6
jon,6
just,6
knew,6
make,6
mother,6
platform,6
say,6
tries,6
use,6
way,6
well,6
winterfell,6
around,5
begins,5
fall,5
ground,5
pair,5
reach,5
remember,5
said,5
scare,5
smiles,5
starts,5
stick,5
sword,5
think,5
watch,5
will,5
approach,4
away,4
behind,4
betray,4
blow,4
boy,4
brother,4
call,4
care,4
clams,4
door,4
game,4
god,4
got,4
hand,4
hghar,4
hold,4
kings,4
lannister,4
left,4
lie,4
lord,4
men,4
need,4
needle,4
nothing,4
people,4
powder,4
sea,4
serve,4
stupid,4
time,4
wouldnt,4
actress,3
anymore,3
anything,3
appears,3
beg,3
better,3
bottle,3
captain,3
carried,3
daughter,3
didnt,3
dire,3
drink,3
enough,3
enter,3
exits,3
front,3
gets,3
gold,3
grabs,3
happened,3
hated,3
heard,3
liar,3
list,3
long,3
loved,3
mile,3
mine,3
northern,3
old,3
open,3
past,3
play,3
put,3
queen,3
rodrick,3
sansa,3
saved,3
ser,3
shes,3
someone,3
staff,3
stare,3
statue,3
table,3
tell,3
thank,3
things,3
three,3
towards,3
train,3
valar,3
wait,3
wash,3
whats,3
wolf,3
abutting,2
always,2
another,2
apprentice,2
arm,2
arrow,2
beat,2
beloved,2
bleeding,2
block,2
bodies,2
bone,2
bowl,2
bran,2
buy,2
cabin,2
carriage,2
charge,2
clegane,2
cloaks,2
cockles,2
coin,2
continues,2
corpse,2
cranearya,2
cup,2
deadarya,2
doesnt,2
dorne,2
eddard,2
else,2
even,2
faceless,2
fills,2
finally,2
find,2
floor,2
frey,2
friend,2
gave,2
glass,2
goes,2
great,2
hair,2
hall,2
heads,2
hello,2
hound,2
inside,2
insult,2
int,2
knocks,2
landing,2
laughs,2
leave,2
let,2
life,2
listens,2
little,2
lot,2
mmm,2
morning,2
mountain,2
much,2
night,2
nods,2
north,2
nymeria,2
onto,2
pain,2
pay,2
person,2
place,2
please,2
pours,2
pulls,2
questions,2
returns,2
right,2
robb,2
roomarya,2
rules,2
saw,2
send,2
side,2
silent,2
sister,2
smacks,2
sniffs,2
snow,2
spoon,2
stabs,2
steal,2
steel,2
stop,2
stretch,2
sure,2
sweep,2
swore,2
taken,2
ten,2
throat,2
told,2
took,2
top,2
trant,2
tray,2
two,2
valyrian,2
walder,2
water,2
woman,2
wound,2
wrong,2
yes,2
younger,2
abruptly,1
adventures,1
afarint,1
afflicted,1
afraid,1
agreement,1
alehot,1
alone,1
also,1
anger,1
anyone,1
armorers,1
attempts,1
aunt,1
awhile,1
backjaqen,1
bad,1
baelors,1
bag,1
bakers,1
battle,1
battlejaqen,1
bed,1
belching,1
believe,1
beneath,1
best,1
bianca,1
bidding,1
big,1
blood,1
blur,1
boltons,1
book,1
bow,1
break,1
bridge,1
bringing,1
brothel,1
brotherscut,1
brought,1
bucket,1
burn,1
cage,1
came,1
canals,1
cane,1
capital,1
cart,1
carved,1
castle,1
catelyn,1
center,1
chamberarya,1
chamberjaqen,1
chambers,1
change,1
chatter,1
cheering,1
chest,1
chicken,1
chuckles,1
closes,1
clutches,1
columns,1
combat,1
comfort,1
common,1
conspired,1
containing,1
conversation,1
coppersarya,1
corrects,1
courtyard,1
crack,1
crossed,1
crowd,1
crumpled,1
cuffed,1
cunt,1
cutthroat,1
dagger,1
dawnarya,1
days,1
decent,1
decided,1
deflects,1
desiresjaqen,1
devoted,1
dockmyrcella,1
docks,1
dohaeris,1
dohaerisarya,1
done,1
doran,1
dornecut,1
dorneits,1
dozens,1
dragged,1
drank,1
dress,1
drove,1
drowned,1
dumps,1
earlier,1
eating,1
edge,1
entire,1
ever,1
everyone,1
examining,1
exchange,1
executed,1
eyes,1
facesarya,1
far,1
farting,1
fear,1
feel,1
feet,1
fireint,1
fireplace,1
fish,1
fixes,1
fleabites,1
fled,1
folk,1
follows,1
food,1
forel,1
form,1
found,1
fountain,1
four,1
gates,1
gone,1
gonna,1
goodbye,1
grasp,1
gregor,1
grunts,1
guards,1
guess,1
gut,1
halfbrother,1
hallramsay,1
hammocks,1
handwriting,1
happeningext,1
healed,1
hear,1
help,1
helpcut,1
hgharcut,1
hid,1
hide,1
hmmarya,1
holes,1
homejaqen,1
horn,1
horse,1
howd,1
however,1
hurt,1
iit,1
ill,1
imagine,1
important,1
jaqn,1
jar,1
jealous,1
karstark,1
keels,1
kicks,1
kidnapped,1
killer,1
kisses,1
knife,1
knitting,1
knowsarya,1
knuckles,1
lana,1
landingarya,1
landingext,1
lane,1
last,1
later,1
laying,1
leads,1
learn,1
least,1
lhara,1
lifts,1
lightly,1
lines,1
liquid,1
listcut,1
lit,1
littlefinger,1
live,1
llewyn,1
longer,1
lose,1
lyanna,1
made,1
maester,1
main,1
manyfaced,1
maps,1
may,1
mean,1
meant,1
members,1
met,1
mom,1
money,1
mongers,1
mordane,1
morghulis,1
mormont,1
moutharya,1
mouths,1
murdered,1
namejaqen,1
narrow,1
near,1
neither,1
next,1
nice,1
nicelyarya,1
nighttime,1
notices,1
nowhere,1
number,1
nymeriaarya,1
obara,1
oneext,1
opinions,1
orphan,1
outlaw,1
outsidearya,1
pass,1
passage,1
pick,1
piearya,1
piss,1
pitcher,1
pointing,1
poison,1
polliver,1
polliverjaqen,1
pooled,1
pop,1
potpie,1
pouch,1
prayed,1
pride,1
prince,1
probably,1
produces,1
prop,1
protected,1
providing,1
purses,1
pushed,1
quickly,1
rack,1
rag,1
ragman,1
read,1
recoils,1
releases,1
respond,1
response,1
revealed,1
rickon,1
ringing,1
riverlands,1
road,1
rob,1
roberts,1
rocks,1
rorge,1
rum,1
run,1
safe,1
sailing,1
sandor,1
sands,1
sat,1
scent,1
screen,1
scrubbing,1
seated,1
seearyas,1
seems,1
sell,1
septa,1
sets,1
several,1
shed,1
shipellaria,1
ships,1
shit,1
shooting,1
shoulder,1
shouting,1
show,1
shuts,1
sick,1
silver,1
since,1
sip,1
slapping,1
slits,1
slower,1
small,1
smalljon,1
sometimes,1
son,1
song,1
speakcut,1
speaks,1
stable,1
staircase,1
starkcut,1
staves,1
stepext,1
steps,1
stomach,1
stones,1
stool,1
stranger,1
streetbells,1
stretchercut,1
strikes,1
suffer,1
suits,1
sunrisearya,1
surprise,1
swings,1
syrio,1
talking,1
target,1
taught,1
teach,1
thanksarya,1
thin,1
third,1
throne,1
titan,1
today,1
tomorrow,1
traitor,1
treason,1
treating,1
trusted,1
tyene,1
umber,1
understand,1
unfortunate,1
usually,1
vision,1
wafts,1
wager,1
watchingcut,1
wearing,1
weeks,1
weirwood,1
westeros,1
westerosi,1
wets,1
wheres,1
whimpers,1
whip,1
whispers,1
whos,1
wicked,1
wig,1
wildernessa,1
winces,1
winterfellcut,1
winterfellext,1
within,1
without,1
wolves,1
wood,1
wore,1
world,1
worth,1
write,1
wrote,1
yaras,1
yesjaqen,1
yet,1
yoren,1
youngest,1
