word,freq
jon,30
snow,25
king,20
davos,16
men,16
watch,16
know,15
walk,15
will,15
night,14
castle,13
melisandre,13
back,12
look,12
man,12
now,12
stannis,12
grace,11
sit,11
like,10
need,10
one,10
wall,10
well,10
black,9
die,9
think,9
edd,8
place,8
stark,8
away,7
believe,7
bolton,7
brother,7
come,7
good,7
hand,7
lord,7
mirror,7
never,7
shield,7
time,7
want,7
command,6
dead,6
fight,6
fuck,6
god,6
got,6
help,6
kill,6
long,6
nods,6
speak,6
still,6
table,6
take,6
tormund,6
way,6
behind,5
charge,5
door,5
enough,5
ever,5
horse,5
just,5
leave,5
live,5
made,5
make,5
might,5
north,5
open,5
queen,5
saan,5
seen,5
ser,5
side,5
sound,5
sword,5
tell,5
thorne,5
thought,5
wildling,5
aye,4
burn,4
course,4
didnt,4
dolorous,4
dragon,4
father,4
fire,4
follow,4
girl,4
gold,4
guard,4
hold,4
land,4
matthos,4
much,4
name,4
princess,4
promise,4
serve,4
seven,4
shireen,4
soldier,4
something,4
stand,4
stare,4
things,4
throne,4
true,4
tyrell,4
winterfell,4
woman,4
amongst,3
ask,3
bed,3
beg,3
begin,3
bit,3
boy,3
camp,3
clean,3
cut,3
demon,3
done,3
dragonstone,3
draw,3
enters,3
fear,3
first,3
fleet,3
forgive,3
friend,3
gets,3
give,3
hard,3
hear,3
heart,3
house,3
hurries,3
iron,3
keep,3
kingdoms,3
last,3
lead,3
let,3
life,3
little,3
love,3
mad,3
march,3
may,3
maybe,3
mean,3
nothing,3
pardon,3
past,3
perhaps,3
position,3
prepare,3
read,3
realm,3
reason,3
ride,3
right,3
room,3
saw,3
say,3
seem,3
shit,3
son,3
spots,3
stay,3
sure,3
told,3
towards,3
triples,3
turns,3
wait,3
war,3
without,3
young,3
accent,2
across,2
address,2
age,2
ahead,2
always,2
anymore,2
anywhere,2
apologies,2
appears,2
approaches,2
around,2
attacks,2
band,2
bannermen,2
baratheon,2
battlefield,2
best,2
better,2
bottom,2
bring,2
business,2
byron,2
came,2
career,2
center,2
children,2
clears,2
cliff,2
closed,2
collar,2
complicated,2
continue,2
courtyard,2
crab,2
cressen,2
daughter,2
declared,2
defeat,2
desk,2
destroy,2
different,2
discuss,2
dothraki,2
edge,2
execute,2
eye,2
fail,2
fair,2
faithful,2
far,2
fermented,2
find,2
flea,2
food,2
fool,2
front,2
gazes,2
hair,2
happened,2
harbor,2
head,2
hell,2
hope,2
lads,2
learned,2
left,2
less,2
light,2
longclaw,2
matter,2
members,2
mind,2
mountain,2
moves,2
mutton,2
numbers,2
old,2
outer,2
pace,2
path,2
pauses,2
pick,2
possible,2
put,2
randyll,2
red,2
response,2
running,2
rush,2
salladhor,2
sam,2
sansa,2
scroll,2
seaworth,2
see,2
ships,2
shores,2
shown,2
sleep,2
smalljon,2
smile,2
south,2
spears,2
stop,2
swann,2
talk,2
thank,2
theyre,2
two,2
uncle,2
understand,2
unsheathes,2
unsullied,2
ushers,2
watchman,2
week,2
wish,2
wounds,2
years,2
yet,2
abandon,1
acknowledges,1
actual,1
admits,1
affairs,1
affection,1
afterwards,1
agreement,1
aid,1
alive,1
alliser,1
along,1
also,1
among,1
answeralliser,1
anyone,1
anyway,1
apparent,1
archers,1
arches,1
army,1
arrangement,1
arrows,1
aryas,1
aside,1
asside,1
assume,1
atop,1
attendance,1
background,1
backmelisandre,1
bad,1
bastard,1
battle,1
beard,1
beautiful,1
begun,1
belonged,1
beside,1
bet,1
beyond,1
birth,1
bite,1
blackfish,1
blades,1
bladesalliser,1
blood,1
bloodcut,1
boots,1
braavosint,1
break,1
breathes,1
brothels,1
brough,1
brought,1
brushes,1
bucket,1
buckle,1
built,1
butcher,1
butterflies,1
cane,1
carved,1
casual,1
cause,1
centuries,1
cersei,1
chainmail,1
chambermelisandre,1
chance,1
changed,1
changedcut,1
characters,1
charmer,1
charmingdavos,1
cheekcut,1
chest,1
choice,1
choose,1
chose,1
cloth,1
clovis,1
coin,1
comestannis,1
completely,1
concernedcut,1
count,1
courtyarddolorous,1
covers,1
crabbers,1
crestfallen,1
crime,1
crosses,1
crouched,1
crown,1
crucial,1
custom,1
dangerous,1
darkness,1
daymatthos,1
deal,1
defend,1
delicious,1
deliver,1
deserve,1
devout,1
dismounts,1
disrobes,1
doesnt,1
donemelisandre,1
doubt,1
dozen,1
dragonslaying,1
drink,1
drowned,1
drugged,1
dumb,1
earnings,1
easydavos,1
effigiesint,1
elderly,1
ending,1
enmities,1
enslave,1
especially,1
establishment,1
even,1
everyone,1
everything,1
evil,1
exist,1
exits,1
exitscut,1
experienced,1
extremely,1
fall,1
false,1
favorite,1
feel,1
ferocious,1
ferried,1
field,1
fighterdavos,1
firepit,1
five,1
flames,1
floor,1
followdavos,1
foot,1
forces,1
fortification,1
forward,1
foul,1
frozen,1
gallop,1
gambler,1
gates,1
gathered,1
gemstone,1
ghost,1
glass,1
glimmers,1
goes,1
gonemelisandre,1
gonna,1
grabs,1
gracejon,1
gracestannis,1
great,1
ground,1
group,1
guts,1
half,1
hallalliser,1
handle,1
harder,1
havent,1
heard,1
heathens,1
helpim,1
high,1
hits,1
holdfasts,1
honorable,1
horde,1
hugs,1
hundreds,1
hunter,1
ill,1
imagine,1
incantation,1
including,1
inside,1
int,1
interrupt,1
isnt,1
jaime,1
job,1
join,1
jorah,1
jumps,1
karstarks,1
kind,1
kneels,1
knocks,1
lannisters,1
late,1
later,1
