word,freq
ramsay,34
look,24
snow,21
lord,16
jon,15
now,14
bolton,13
reek,13
sansa,13
walk,13
winterfell,12
north,11
arrow,10
back,10
like,10
men,10
theon,10
time,10
will,10
come,9
father,9
gate,9
hand,9
roose,9
away,8
good,8
wun,8
castle,7
head,7
house,7
know,7
one,7
start,7
bastard,6
brother,6
hold,6
kiss,6
let,6
myranda,6
sit,6
stannis,6
stark,6
walda,6
warden,6
wife,6
wine,6
dog,5
gets,5
man,5
new,5
northern,5
osha,5
rickon,5
shield,5
table,5
take,5
apology,4
archers,4
ask,4
better,4
black,4
bodies,4
boy,4
die,4
fire,4
grabs,4
happiness,4
knife,4
long,4
night,4
nock,4
open,4
people,4
see,4
several,4
sword,4
talk,4
tell,4
told,4
tradition,4
turns,4
want,4
watch,4
wolkan,4
woman,4
yes,4
advances,3
anymore,3
banners,3
blocks,3
bore,3
bring,3
chamber,3
close,3
command,3
course,3
cripple,3
done,3
door,3
falls,3
fight,3
first,3
forward,3
give,3
gone,3
ground,3
help,3
home,3
honor,3
horse,3
hounds,3
ill,3
kneel,3
leave,3
lies,3
little,3
loyal,3
maester,3
marriage,3
mean,3
much,3
name,3
never,3
past,3
person,3
place,3
pour,3
raises,3
remember,3
right,3
rips,3
room,3
saw,3
side,3
son,3
still,3
sure,3
thank,3
think,3
though,3
thousand,3
tries,3
umber,3
way,3
wedding,3
wonder,3
afraid,2
aim,2
another,2
around,2
beast,2
bed,2
begin,2
beloved,2
blood,2
cailin,2
camp,2
candle,2
cerwyn,2
cleans,2
closer,2
coat,2
day,2
dead,2
didnt,2
drink,2
enter,2
everyone,2
examines,2
eye,2
face,2
far,2
find,2
follow,2
friend,2
front,2
game,2
girl,2
great,2
greyjoy,2
hall,2
hear,2
heir,2
hole,2
hood,2
hope,2
ironborn,2
isnt,2
keep,2
kennel,2
kill,2
last,2
left,2
made,2
make,2
may,2
meet,2
mine,2
moat,2
moment,2
mother,2
murdered,2
need,2
none,2
nothing,2
old,2
paid,2
part,2
pleased,2
pledge,2
poisoned,2
pregnant,2
protects,2
proud,2
puts,2
ravens,2
reaches,2
refused,2
rides,2
run,2
said,2
say,2
second,2
seen,2
sell,2
send,2
shes,2
smell,2
soldier,2
someone,2
something,2
stab,2
stairs,2
stay,2
storm,2
swear,2
theyre,2
thuds,2
together,2
tough,2
two,2
use,2
virgin,2
wall,2
well,2
accept,1
aemons,1
alike,1
allow,1
along,1
alongramsay,1
alternative,1
always,1
anything,1
anyway,1
anywhere,1
apart,1
appears,1
aside,1
attempting,1
awayext,1
bad,1
baelish,1
balls,1
bannerman,1
bar,1
baratheon,1
barely,1
bark,1
bashes,1
battle,1
battlefieldext,1
bearded,1
beating,1
beautiful,1
became,1
become,1
believe,1
belt,1
best,1
beyond,1
bird,1
bit,1
bites,1
blackint,1
blindramsay,1
bolster,1
bookshelves,1
boottheon,1
born,1
bows,1
bracken,1
brandishes,1
breed,1
bride,1
broken,1
brothersansa,1
brotherstheon,1
buried,1
