Character,Line
JOFFREY,Well struck<85>  Well struck Dog.The Hound removes his helmet. Joffrey turns to Sansa.
JOFFREY,Did you like that?
SANSA,It was well struck Your Grace.
JOFFREY,I already said it was well struck.
SANSA,Yes Your Grace.Two men drag the man away leaving behind a trail of blood. A boy walks over to clean up the blood.
JOFFREY,Who's next?ANNOUNCER: Lothor Brune freerider in the service of Lord Baelish.The announcer gestures to a man who then walks over.
ANNOUNCER,Ser Dontos the Red of House Hollard.The announcer gestures in the opposite direction but no one comes forward.
ANNOUNCER,Ser Dontos the Red of House Hollard!
SER DONTOS,Here I am. .
JOFFREY,Are you drunk?Ser Dontos takes off his helmet.
SER DONTOS,No. Uh no Your Grace. I had - I had two cups of wine.
JOFFREY,Two cups? . Please have another cup.
SER DONTOS,Are you sure Your Grace?
JOFFREY,Yes to celebrate my name day.  Have two have as much as you like.
SER DONTOS,I would be honored Your Grace.Ser Dontos bows to Joffrey. Joffrey looks over to Ser Meryn.
JOFFREY,Ser Meryn help Ser Dontos celebrate my name day. See that he drinks his fill.Ser Meryn and two other kingsguard grab Ser Dontos. They bring him into a more open area nearby. Ser Dontos is forced on his knees. One kingsguard keeps Ser Dontos down. Ser Meryn and the other kingsguard get a funnel and a barrel of wine. Ser Meryn forces the funnel into Ser Dontoss mouth. The kingsguard with the barrel begins pouring the wine down the funnel. Ser Dontos begins gurgling and struggles a little bit.
SANSA,You can't!
JOFFREY,What did you say? Did you say I can't?
SANSA,I only meant<85> it would be bad luck to kill a man on your name day.
JOFFREY,What kind of stupid peasant's superstition...
THE HOUND,The girl is right. What a man sows on his name day he reaps all year.
JOFFREY,. Take him away. I'll have him killed tomorrow the fool.The barrel and funnel are removed and Ser Dontos is released. He pukes out a mixture of blood and wine onto the ground.
SANSA,He is. A fool - you're so clever to see it. He'll make a much better fool than a knight. He doesn't deserve the mercy of a quick death.
JOFFREY,Did you hear My Lady Ser Dontos?
SER DONTOS,Thank you Your Grace. . And you My Lady
TYRION,Beloved nephew.Tyrion Bronn and a number of hill tribesman appear from the right. People murmur and look their way.
