"Male" "Female"
"abandon" 15 4
"abduct" 1 0
"able" 6 5
"abolishing" 2 0
"abruptly" 0 1
"absence" 1 1
"absencetyrion" 1 0
"absent" 0 1
"absolutely" 2 3
"abstract" 1 0
"absurd" 0 1
"abundantly" 1 0
"abuses" 0 1
"abutting" 0 2
"accent" 4 0
"accept" 7 1
"accident" 1 1
"accommodations" 0 1
"accomodation" 0 1
"accomplished" 2 0
"according" 2 0
"accurate" 0 1
"achieved" 2 1
"acknowledges" 2 1
"acquire" 1 0
"across" 18 19
"acrosscut" 1 0
"act" 1 1
"action" 4 1
"activejorah" 1 0
"actress" 1 3
"actual" 7 1
"add" 1 0
"address" 9 8
"adjust" 1 0
"administering" 1 0
"admire" 6 1
"admit" 7 5
"adore" 1 2
"adult" 1 0
"advance" 6 3
"advantage" 4 0
"adventurer" 1 2
"advice" 3 3
"advise" 5 4
"advisor" 4 2
"aegon" 3 1
"aemon" 8 2
"aeron" 1 0
"afar" 2 0
"afarint" 0 1
"affairs" 2 1
"affection" 3 1
"affinity" 1 0
"afflicted" 2 1
"afford" 0 1
"afire" 1 0
"afraid" 22 10
"afraidjanos" 1 0
"afternoon" 1 0
"afterwards" 1 0
"agains" 1 0
"age" 4 1
"aggo" 0 1
"ago" 12 2
"agoelaria" 0 1
"agree" 7 2
"agreement" 5 3
"ahead" 6 3
"aid" 2 1
"aim" 4 0
"air" 3 3
"aisle" 0 2
"alayne" 0 1
"ale" 1 0
"alehot" 0 1
"alemissandei" 1 0
"alike" 2 0
"alive" 19 6
"allegiance" 4 0
"alley" 3 1
"alleyarya" 1 0
"alleyway" 1 0
"alliance" 5 5
"allies" 13 7
"alliser" 13 0
"allister" 1 0
"allow" 10 9
"almost" 12 5
"alone" 13 17
"aloneeveryone" 0 1
"alonesam" 1 0
"along" 12 7
"alongramsay" 1 0
"alongside" 3 2
"alreadysam" 1 0
"alright" 5 3
"also" 5 4
"alternate" 2 0
"alton" 2 0
"always" 47 30
"alwayscersei" 0 1
"alwaysdrogon" 0 1
"amazes" 1 2
"ambushed" 1 1
"amends" 1 0
"among" 7 3
"amongst" 6 1
"amount" 0 1
"amusement" 1 0
"ancestors" 6 1
